TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.apache.bcel.generic.GETSTATIC,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8380208333333333,50,42
org.apache.bcel.generic.INVOKESTATIC,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8847222222222222,52,48
org.apache.bcel.generic.IAND,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.921875,19,17
org.apache.bcel.generic.CPInstruction,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7223152281746033,152,107
org.apache.bcel.generic.FieldGen,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7101798601032119,644,410
org.apache.bcel.generic.CASTORE,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.921875,19,17
org.apache.bcel.generic.LASTORE,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.921875,19,17
org.apache.bcel.generic.INSTANCEOF,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5997549019607843,61,37
org.apache.bcel.generic.FieldGenOrMethodGen,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8912865497076023,150,129
org.apache.bcel.generic.LDC2_W,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9395748987854251,96,89
org.apache.bcel.generic.PUTSTATIC,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8380208333333333,50,42
org.apache.bcel.generic.IFGT,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.86875,39,30
org.apache.bcel.generic.ILOAD,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,23,23
